Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
,,,,,,,,,,,,Lateek Shabazz,,"SHABAZZ, LATEEK R",H,DEM,OH,11.0,N,O,2021-07-14,0.0,0.0,0.0,0.0,House
"Lateresa ""L.A."" Jones",Female,Black,,,No,No,Florida,Representative,10,Lost,,Lateresa Jones,REP,"JONES, LATERESA ANN",H,REP,FL,10.0,C,C,2019-02-14,17700.86,17683.07,17.79,4727.46,House
Latham Saddler,Male,White,,,No,No,Georgia,Senator,,Lost,,Latham Saddler,REP,,,,,,,,,,,,,
Laura Cisneros,Female,Latino,,,No,Yes,Texas,Representative,34,Lost,,Laura Cisneros,DEM,"CISNEROS, LAURA E. DR.",H,DEM,TX,34.0,C,C,2021-11-08,204861.12,161359.8,43501.32,200000.0,House
Laura A. Gillen,Female,White,,,No,No,New York,Representative,4,Won,,Laura Gillen,DEM,"GILLEN, LAURA",H,DEM,NY,4.0,C,C,2022-02-24,1832377.75,1822130.79,10246.96,0.0,House
Laura Jones,Female,White,,,No,No,Texas,Representative,8,Won,,Laura Jones,DEM,"JONES, LAURA",H,DEM,TX,8.0,C,O,2020-01-10,42027.58,42917.95,418.78,1277.7,House
Laura Kelly,Female,White,,,Yes,No,Kansas,Governor,,Won,,Laura Kelly,DEM,,,,,,,,,,,,,
Laura Loomer,Female,White,,,No,Yes,Florida,Representative,11,Lost,,Laura Loomer,REP,"LOOMER, LAURA",H,REP,FL,11.0,C,C,2019-08-02,853108.74,872308.62,11714.78,16097.13,House
,,,,,,,,,,,,Laura Mitchell Riley,,"MITCHELL RILEY, LAURA",H,REP,MO,1.0,N,C,,0.0,0.0,0.0,0.0,House
Laura Mitchell-Riley,Female,Unknown,,,No,No,Missouri,Representative,1,Lost,,Laura Mitchell-Riley,REP,,,,,,,,,,,,,
Laura Moreno,Female,White,,,No,No,Oklahoma,Senator (unexpired term),,Lost,,Laura Moreno,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Laura Olivas,,"OLIVAS, LAURA MRS.",H,NPA,NM,1.0,N,O,2021-03-17,0.0,0.0,0.0,0.0,House
Laura Pichardo,Female,Latino,,,No,No,North Carolina,Representative,6,Lost,,Laura Pichardo,REP,"PICHARDO, LAURA",H,REP,NC,6.0,C,C,2022-05-09,5680.39,6583.16,0.0,0.0,House
,,,,,,,,,,,,Laurel Foster,,"FOSTER, LAUREL A.",H,N,AK,0.0,N,O,,0.0,0.0,0.0,0.0,House
Laurel Imer,Female,White,,,No,No,Colorado,Representative,7,Lost,,Laurel Imer,REP,"IMER, LAUREL ANNE",H,REP,CO,7.0,C,O,2021-03-04,88683.51,88399.74,283.77,0.0,House
Laurel Lee,Female,White,,,No,No,Florida,Representative,15,Won,,Laurel Lee,REP,"LEE, LAUREL MRS.",H,REP,FL,15.0,C,C,2022-05-17,1563092.79,1475852.5,87240.29,172500.0,House
Laurel L. Roses,Female,White,,,No,No,Oregon,Representative,5,Lost,,Laurel Roses,REP,"ROSES, LAUREL",H,REP,OR,5.0,C,C,2022-04-15,12292.62,9731.22,2561.4,0.0,House
Lauren Boebert,Female,White,,,Yes,No,Colorado,Representative,3,Won,,Lauren Boebert,REP,"BOEBERT, LAUREN",H,REP,CO,3.0,C,I,2019-12-06,7854668.58,7440187.29,771275.6,0.0,House
,,,,,,,,,,,,Lauren Hays,,"HAYS, LAUREN",H,DEM,AR,3.0,C,C,2021-04-15,65741.89,65741.89,0.0,22575.16,House
Lauren Mallett-Hays,Female,White,,,No,No,Arkansas,Representative,3,Won,,Lauren Mallett-Hays,DEM,,,,,,,,,,,,,
Lauren Underwood,Female,Black,,,Yes,No,Illinois,Representative,14,Won,,Lauren Underwood,DEM,"UNDERWOOD, LAUREN",H,DEM,IL,14.0,C,I,2017-08-08,6889213.25,6640024.95,787086.15,0.0,House
,,,,,,,,,,,,Laurie Bishop,,"BISHOP, LAURIE",H,DEM,MT,2.0,C,C,2021-06-30,147935.0,147935.0,0.0,0.0,House
Lavern Spicer,Female,Black,,,No,No,Florida,Representative,24,Lost,,Lavern Spicer,REP,"SPICER, LAVERN",H,REP,FL,24.0,C,C,2020-01-17,289363.87,290462.12,-1034.11,2442.24,House
,,,,,,,,,,,,Laverne Gore,,"GORE, LAVERNE",H,REP,OH,11.0,P,C,2019-10-18,46119.0,46336.55,0.0,5115.07,House
,,,,,,,,,,,,Lawrence Casha,,"CASHA, LAWRENCE A",H,REP,NJ,11.0,C,C,2021-10-05,117645.67,117645.67,0.0,0.0,House
,,,,,,,,,,,,Lawrence Lazor,,"LAZOR, LAWRENCE ZIDOVSKY DR",H,REP,CT,1.0,C,C,2021-04-30,190652.21,190652.21,0.0,0.0,House
,,,,,,,,,,,,Lawrence Meyer,,"MEYER, LAWRENCE N. D.",H,REP,TN,4.0,N,C,2021-02-19,0.0,3624.34,0.0,12561.58,House
,,,,,,,,,,,,Lawrence Meyer,,"MEYER, LAWRENCE DOUG",H,REP,TN,4.0,N,C,2021-11-16,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Lea Sherman,,"SHERMAN, LEA",H,OTH,NJ,9.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Leah Dailey,,"DAILEY, LEAH R.",H,LIB,MI,7.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Leah Toomim,,"TOOMIM, LEAH MELISSA",H,REP,CA,32.0,C,C,2021-05-03,32365.36,32217.43,147.93,12932.97,House
Lee A. Brian,Female,White,,,No,No,North Carolina,Senator,,Lost,,Lee Brian,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lee Dugas,,"DUGAS, LEE ANN",H,DEM,LA,1.0,N,C,2014-09-29,0.0,0.0,0.0,0.0,House
Lee Haywood,Male,White,,,No,No,North Carolina,Representative,6,Lost,,Lee Haywood,REP,,,,,,,,,,,,,
Lee Murphy,Male,White,,,No,No,Delaware,Representative,At-Large,Won,,Lee Murphy,REP,"MURPHY, LEE",H,REP,DE,0.0,C,C,2018-05-29,349933.46,355131.66,-5147.8,0.0,House
,,,,,,,,,,,,Lee Ogilvie,,"OGILVIE, LEE ALECK",H,REP,FL,7.0,N,O,2022-01-12,0.0,0.0,0.0,0.0,House
Lee R. Stahley,Male,White,,,No,No,Ohio,Representative,3,Won,,Lee Stahley,REP,"STAHLEY, LEE R.",H,REP,OH,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Lee Watts,,"WATTS, LEE",H,REP,KY,2.0,C,C,2022-01-10,56220.69,56220.69,0.0,0.0,House
Lee Zeldin,Male,White,,,No,No,New York,Governor,,Won,,Lee Zeldin,REP,,,,,,,,,,,,,
Leif Johnson,Male,White,,,No,No,Washington,Representative,2,Lost,,Leif Johnson,REP,"JOHNSON, LEIF D",H,REP,WA,2.0,C,C,2021-06-01,26524.67,40460.47,54.75,16496.2,House
,,,,,,,,,,,,Leigha Garner-Lopez,,"GARNER-LOPEZ, LEIGHA LUNA",H,REP,FL,5.0,C,C,2021-02-01,53806.39,53806.39,0.0,0.0,House
"Leigha ""Luna"" Lopez",Female,Black,White,,No,Yes,Florida,Representative,5,Lost,,Leigha Lopez,REP,,,,,,,,,,,,,
Lela McNinch,Female,White,,,No,No,Nebraska,Governor,,Lost,,Lela Mcninch,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lemuel Hogan,,"HOGAN, LEMUEL DAVID",H,REP,TX,38.0,C,O,2022-01-28,22051.19,20058.52,1992.67,9900.0,House
Leo AwGoWhat,Male,White,,,No,No,Tennessee,Representative,9,Lost,,Leo Awgowhat,REP,"AWGOWHAT, LEO",H,REP,TN,9.0,N,C,,0.0,0.0,0.0,0.0,House
Leo S. Zacky,Male,White,,,No,No,California,Governor,,Lost,,Leo Zacky,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Leon Benjamin,,"BENJAMIN, LEON MR. SR.",H,REP,VA,4.0,C,C,2019-12-24,382045.09,367605.18,36364.61,0.0,House
Leon Lawson,Male,White,,,No,No,Washington,Senator,,Lost,,Leon Lawson,REP,,,,,,,,,,,,,
Leon Benjamin Sr.,Male,Black,,,No,No,Virginia,Representative,4,Won,,Leon Sr.,REP,,,,,,,,,,,,,
Leonard L. Bryant,Male,Black,,,No,No,North Carolina,Senator,,Lost,,Leonard Bryant,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Leonard Serratore,,"SERRATORE, LEONARD LOUIS MR.",H,REP,FL,18.0,C,C,2021-06-02,33850.5,33821.71,28.79,0.0,House
Leora R. Levy,Female,Latino (Cuban),,,No,No,Connecticut,Senator,,Won,,Leora Levy,REP,,,,,,,,,,,,,
Les Gara,Male,Middle Eastern (Iraqi),,,No,No,Alaska,Governor,,Won,,Les Gara,DEM,,,,,,,,,,,,,
Lesley DeNardis,Female,White,,,No,No,Connecticut,Representative,3,Won,,Lesley Denardis,REP,"DENARDIS, LESLEY",H,REP,CT,3.0,C,C,2022-02-11,46977.86,46977.86,0.0,0.0,House
Leslie L. French,Male,White,,,No,Yes,Washington,Representative,3,Lost,,Leslie French,REP,"FRENCH, LESLIE LEIGH",H,REP,WA,3.0,C,C,2021-10-13,75106.53,74114.76,991.77,50918.58,House
,,,,,,,,,,,,Lessie Leblanc,,"LEBLANC, LESSIE OLIVIA",H,DEM,LA,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Levi Leatherberry,,"LEATHERBERRY, LEVI",H,LIB,OR,4.0,N,C,,0.0,0.0,0.0,0.0,House
Lew Burdette,Male,White,,,No,Yes,Alabama,Governor,,Lost,,Lew Burdette,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lewis Langella,,"LANGELLA, LEWIS MILAM",H,REP,TX,2.0,C,C,2021-12-13,8971.05,8870.32,100.73,3200.0,House
Lewis Rolen,Male,Black,,,No,No,Missouri,Senator,,Lost,,Lewis Rolen,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Lewis Swezy,,"SWEZY, LEWIS",H,REP,FL,23.0,N,C,2022-06-15,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Liam Jameson,,"JAMESON, LIAM MR",H,ICD,MD,48.0,N,C,2022-03-30,0.0,0.0,0.0,0.0,House
Liam Madden,Male,White,,,No,No,Vermont,Representative,At-Large,Won,,Liam Madden,REP,"MADDEN, LIAM",H,IND,VT,0.0,C,O,2022-04-07,47659.85,42114.66,5545.19,0.0,House
,,,,,,,,,,,,Liam Simard,,"SIMARD, LIAM MIGUEL",H,UN,CA,14.0,N,O,2022-01-25,0.0,0.0,0.0,0.0,House
Lichia Sibhatu,Female,Black (Eritrean),,,No,No,North Carolina,Senator,,Lost,,Lichia Sibhatu,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lilawatie Ramcharran,,"RAMCHARRAN, LILAWATIE LILY MRS.",H,DEM,FL,15.0,C,C,2021-02-03,14784.26,14784.26,0.0,0.0,House
Lillie Boddie,Female,Unknown,,,No,No,Alabama,Senator,,Lost,,Lillie Boddie,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lily Erickson,,"ERICKSON, LILY JOY",H,DEM,MN,3.0,N,C,2020-11-16,0.0,0.0,0.0,0.0,House
Lily Tang Williams,Female,Asian (Chinese),,,No,No,New Hampshire,Representative,2,Lost,,Lily Williams,REP,"WILLIAMS, LILY TANG",H,REP,NH,2.0,C,C,2022-01-05,186200.72,155407.81,30792.91,0.0,House
Lin Veasey,Female,Unknown,,,No,No,Alabama,Representative,3,Won,,Lin Veasey,DEM,"VEASEY, LIN",H,DEM,AL,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Linda Brooks,,"BROOKS, LINDA SUSAN MS.",H,NPA,FL,2.0,C,C,2021-04-06,131433.96,131149.47,0.0,0.0,House
,,,,,,,,,,,,Linda Mcneely,,"MCNEELY, LINDA",H,DEM,IL,17.0,N,O,2022-02-28,0.0,0.0,0.0,0.0,House
Linda Nuno,Female,Latino,,,No,No,Texas,Representative,10,Won,,Linda Nuno,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Linda Sanchez,,"SANCHEZ, LINDA",H,DEM,CA,38.0,C,I,2001-10-04,1519205.78,1917044.99,443144.01,0.0,House
,,,,,,,,,,,,Linda Sawyer,,"SAWYER, LINDA",H,REP,MI,12.0,N,C,2020-03-05,0.0,0.0,0.0,0.0,House
Linda T. Sánchez,Female,Latino (Mexican),,,Yes,No,California,Representative,38,Won,,Linda Sánchez,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Lindsey Williams,,"WILLIAMS, LINDSEY DEMART",H,DEM,NY,13.0,C,C,2021-10-04,41494.0,26524.34,967.66,0.0,House
Lindy Blanchard,Female,White,,,No,Yes,Alabama,Governor,,Lost,,Lindy Blanchard,REP,,,,,,,,,,,,,
Liri Fusha,Female,White (Albanian),,,No,Yes,Maryland,Representative,2,Lost,,Liri Fusha,DEM,"FUSHA, LIRI",H,DEM,MD,2.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Lisa Babbage,,"BABBAGE, LISA NOEL DR.",H,REP,GA,7.0,C,C,2019-06-10,8475.0,3196.0,138.0,0.0,House
Lisa A. Bartlett,Female,Asian,,,No,No,California,Representative,49,Lost,,Lisa Bartlett,REP,"BARTLETT, LISA",H,REP,CA,49.0,C,C,2022-01-04,572049.66,566468.01,5581.65,167188.28,House
,,,,,,,,,,,,Lisa Blunt Rochester,,"BLUNT ROCHESTER, LISA",H,DEM,DE,0.0,C,I,2015-10-27,2899174.85,3280496.22,582444.16,250000.0,House
Lisa Marie,Female,White,,,No,Yes,Idaho,Governor,,Lost,,Lisa Marie,REP,,,,,,,,,,,,,
Lisa McClain,Female,White,,,Yes,No,Michigan,Representative,9,Won,,Lisa Mcclain,REP,"MCCLAIN, LISA",H,REP,MI,10.0,C,I,2019-11-05,1269568.48,401221.06,916503.08,1450000.0,House
Lisa McCoy,Female,White,,,No,No,Georgia,Representative,7,Lost,,Lisa Mccoy,REP,"MCCOY, LISA",H,REP,GA,7.0,C,C,2022-03-10,9737.13,10283.73,-67.65,0.0,House
Lisa Murkowski,Female,White,,,Yes,No,Alaska,Senator,,Made runoff,,Lisa Murkowski,REP,,,,,,,,,,,,,
Lisa Blunt Rochester,Female,Black,,,Yes,No,Delaware,Representative,At-Large,Won,,Lisa Rochester,DEM,,,,,,,,,,,,,
Lisa Scheller,Female,White,,,No,No,Pennsylvania,Representative,7,Won,,Lisa Scheller,REP,"SCHELLER, LISA",H,REP,PA,7.0,C,C,2019-10-14,6354578.69,6432421.56,2737.49,3418000.0,House
Litesa Wallace,Female,Black,,,No,No,Illinois,Representative,17,Lost,,Litesa Wallace,DEM,"WALLACE, LITESA",H,DEM,IL,17.0,C,O,2021-11-09,223732.43,223648.68,83.75,33313.25,House
Liz Cheney,Female,White,,,Yes,No,Wyoming,Representative,At-Large,Lost,,Liz Cheney,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Liz Hakola,,"HAKOLA, LIZ",H,OTH,MI,1.0,N,C,,0.0,0.0,0.0,0.0,House
Liz Mathis,Female,White,,,No,No,Iowa,Representative,2,Won,,Liz Mathis,DEM,,,,,,,,,,,,,
Lizbeth Diaz,Female,Latino (Mexican),,,No,No,Texas,Representative,30,Lost,,Lizbeth Diaz,REP,"DIAZ, LIZBETH",H,REP,TX,30.0,N,O,,0.0,0.0,0.0,0.0,House
Lizzie Fletcher,Female,White,,,Yes,No,Texas,Representative,7,Won,,Lizzie Fletcher,DEM,,,,,,,,,,,,,
Ljubo Skrbic,Male,White,,,No,Yes,Florida,Representative,21,Lost,,Ljubo Skrbic,REP,"SKRBIC, LJUBO DR.",H,REP,FL,21.0,N,C,2021-08-11,0.0,0.0,0.0,0.0,House
Ljubo Skrbic,Male,White,,,No,Yes,Florida,Representative,21,Lost,,Ljubo Skrbic,REP,"SKRBIC, LJUBO DR MD",H,REP,FL,21.0,C,C,2021-08-23,32505.64,32469.64,0.0,22550.64,House
Lloyd Doggett,Male,White,,,Yes,No,Texas,Representative,37,Won,,Lloyd Doggett,DEM,"DOGGETT, LLOYD",H,DEM,TX,37.0,C,O,1993-12-16,1389781.62,1282966.2,5312290.62,0.0,House
,,,,,,,,,,,,Lloyd Kelly,,"KELLY, LLOYD M.",H,DEM,LA,2.0,N,O,,0.0,0.0,0.0,0.0,House
Lloyd K. Smucker,Male,White,,,Yes,No,Pennsylvania,Representative,11,Won,,Lloyd Smucker,REP,"SMUCKER, LLOYD K.",H,REP,PA,11.0,C,I,2015-12-22,1560516.69,1377468.04,879823.65,0.0,House
Lloyd A. Stevens,Male,White,,,No,Yes,California,Representative,35,Lost,,Lloyd Stevens,DEM,"STEVENS, LLOYD ALEXANDER",H,DEM,CA,35.0,C,C,2022-03-13,17639.79,13971.79,3668.0,0.0,House
,,,,,,,,,,,,Logan Wajer,,"WAJER, LOGAN RONALD",H,IND,MN,1.0,N,O,2021-05-06,0.0,0.0,0.0,0.0,House
Lois Frankel,Female,White,,,Yes,No,Florida,Representative,22,Won,,Lois Frankel,DEM,"FRANKEL, LOIS J.",H,DEM,FL,22.0,C,I,1991-07-12,1275269.43,1821733.61,645707.23,0.0,House
Long K. Pham,Male,Asian,,,No,Yes,California,Representative,45,Lost,,Long Pham,REP,"PHAM, LONG",H,REP,CA,45.0,N,C,2022-02-18,0.0,0.0,0.0,0.0,House
Lonnie Sortor,Male,White,,,No,No,California,Governor,,Lost,,Lonnie Sortor,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lonny Koons,,"KOONS, LONNY",H,REP,NY,21.0,C,C,2021-05-17,7956.13,6986.15,969.8,0.0,House
Loren Culp,Male,White,,,No,Yes,Washington,Representative,4,Lost,,Loren Culp,REP,"CULP, LOREN",H,REP,WA,4.0,C,C,2021-04-21,349581.75,349581.75,0.0,0.0,House
,,,,,,,,,,,,Lorence Wenke,,"WENKE, LORENCE RAYMOND MR",H,LIB,MI,4.0,N,C,2022-09-08,0.0,0.0,0.0,0.0,House
Loretta Smith,Female,Black,,,No,No,Oregon,Representative,6,Lost,,Loretta Smith,DEM,"SMITH, LORETTA",H,DEM,OR,6.0,C,O,2021-07-01,360500.25,359839.9,660.35,55000.0,House
Lori Chavez-DeRemer,Female,Latino,,,No,No,Oregon,Representative,5,Won,,Lori Chavez-Deremer,REP,"CHAVEZ-DEREMER, LORI",H,REP,OR,5.0,C,C,2021-07-13,2568275.52,2558814.1,9461.42,395000.0,House
Lori A. Saine,Female,White,,,No,No,Colorado,Representative,8,Lost,,Lori Saine,REP,"SAINE, LORI A",H,REP,CO,8.0,C,O,2021-11-02,371173.1,371173.1,0.0,0.0,House
Lori Loureiro Trahan,Female,White,,,Yes,No,Massachusetts,Representative,3,Won,,Lori Trahan,DEM,"TRAHAN, LORI",H,DEM,MA,3.0,C,I,2017-09-21,1968444.77,1386908.66,867499.45,0.0,House
Lorie R. Friend,Female,White,,,No,No,Maryland,Senator,,Lost,,Lorie Friend,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Lorimer Eastwood,,"EASTWOOD, LORIMER MR",H,ICD,TN,49.0,N,C,2022-04-02,0.0,0.0,0.0,0.0,House
Lorrie Rutledge,Female,Black,,,No,No,Michigan,Representative,13,Lost,,Lorrie Rutledge,DEM,"RUTLEDGE, LORRIE",H,DEM,MI,13.0,C,C,2022-02-17,8440.0,8410.09,-5.41,2925.0,House
Lorrie A. Sigley,Female,Unknown,,,No,No,Maryland,Representative,7,Lost,,Lorrie Sigley,REP,"SIGLEY, LORRIE A.",H,REP,MD,7.0,N,C,,0.0,0.0,0.0,0.0,House
Lou Barletta,Male,White,,,No,No,Pennsylvania,Governor,,Lost,,Lou Barletta,REP,,,,,,,,,,,,,
Lou Correa,Male,Latino (Mexican),,,Yes,No,California,Representative,46,Won,,Lou Correa,DEM,"CORREA, LOU",H,DEM,CA,46.0,C,I,2015-06-12,1293189.19,918746.97,1520142.93,9048.98,House
,,,,,,,,,,,,Lou Lanni,,"LANNI, LOU",H,DEM,PA,5.0,C,C,2019-08-16,562600.0,562600.0,0.0,0.0,House
Louie Sanchez,Male,Latino,,,No,No,New Mexico,Representative,1,Lost,,Louie Sanchez,REP,"SANCHEZ, LOUIE",H,REP,NM,1.0,C,C,2022-01-26,174207.11,174207.11,0.0,0.0,House
,,,,,,,,,,,,Louis Bushay,,"BUSHAY, LOUIS",H,REP,SC,7.0,N,C,2021-05-18,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Louis Gill,,"GILL, LOUIS",H,DEM,CA,23.0,C,C,2021-10-19,132625.8,131096.73,1529.07,0.0,House
,,,,,,,,,,,,Louis Hook,,"HOOK, LOUIS CHARLES DR.",H,REP,MS,4.0,N,C,2021-10-07,0.0,0.0,0.0,0.0,House
Louis G. Lyras,Male,White,,,No,No,Ohio,Representative,6,Won,,Louis Lyras,DEM,"LYRAS, LOUIS GEORGE",H,DEM,OH,6.0,C,C,2018-07-10,144248.42,132597.38,12853.76,237530.99,House
,,,,,,,,,,,,Louis Marino,,"MARINO, LOUIS GREGORY",H,REP,MA,1.0,N,C,2020-07-08,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Louis Marino,,"MARINO, LOUIS G",H,REP,MA,2.0,N,C,2021-02-12,0.0,0.0,0.0,0.0,House
Louis Meyers,Male,White,,,No,No,Vermont,Representative,At-Large,Lost,,Louis Meyers,DEM,"MEYERS, LOUIS B",H,DEM,VT,0.0,C,O,2022-04-26,259459.73,259462.73,0.0,34125.05,House
,,,,,,,,,,,,Louis Palus,,"PALUS, LOUIS",H,OTH,MI,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Louis Vellucci,,"VELLUCCI, LOUIS",H,OTH,NJ,5.0,C,C,2020-09-25,7059.89,6800.55,37.57,0.0,House
,,,,,,,,,,,,Lourin Hubbard,,"HUBBARD, LOURIN",H,DEM,CA,22.0,C,C,2021-02-27,99620.99,82382.27,17238.72,0.0,House
Lucas Kunce,Male,White,,,No,No,Missouri,Senator,,Lost,,Lucas Kunce,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Lucia Mcbath,,"MCBATH, LUCIA KAY MS.",H,DEM,GA,7.0,C,I,2018-03-05,5596710.62,5002336.18,734303.46,0.0,House
,,,,,,,,,,,,Lucia Rodriguez,,"RODRIGUEZ, LUCIA S",H,REP,TX,2.0,N,C,2021-02-22,0.0,0.0,0.0,0.0,House
Lucie Lapointe Volotzky,Female,White,,,No,No,California,Representative,32,Won,,Lucie Volotzky,REP,"VOLOTZKY, LUCIE LAPOINTE",H,REP,CA,32.0,C,C,2020-12-10,53589.76,51615.73,1974.03,200.0,House
,,,,,,,,,,,,Lucinda Jahn,,"JAHN, LUCINDA KWH",H,NNE,CA,48.0,N,C,,0.0,0.0,0.0,0.0,House
Lucretia Free,Female,Black,,,No,No,Arizona,Representative,6,Lost,,Lucretia Free,REP,"FREE, LUCRETIA",H,REP,AZ,2.0,C,O,2021-10-28,16697.49,16697.49,0.0,14061.09,House
,,,,,,,,,,,,Lucy Lauser,,"LAUSER, LUCY ESTHER JOAN",H,DEM,WA,3.0,N,C,2021-03-16,749.19,749.19,0.0,0.0,House
,,,,,,,,,,,,Lucy Lindsey,,"LINDSEY, LUCY JELLYBEAN",H,IND,TN,3.0,N,C,2020-11-11,0.0,0.0,0.0,0.0,House
Lucy McBath,Female,Black,,,Yes,Yes,Georgia,Representative,7,Won,,Lucy Mcbath,DEM,,,,,,,,,,,,,
Luis Acevedo-Arreguin,Male,Latino (Mexican),,,No,Yes,California,Representative,18,Lost,,Luis Acevedo-Arreguin,DEM,"ACEVEDO-ARREGUIN, LUIS",H,DEM,CA,18.0,C,C,2022-02-13,22252.56,16334.18,5918.38,17072.0,House
Luis Daniel Muñoz,Male,Latino,,,No,Yes,Rhode Island,Governor,,Lost,,Luis Muñoz,DEM,,,,,,,,,,,,,
Luis Pozzolo,Male,Latino (Uruguayan),,,No,No,Arizona,Representative,7,Won,,Luis Pozzolo,REP,"POZZOLO, LUIS B",H,REP,AZ,3.0,C,C,2021-10-14,268102.04,268102.04,0.0,0.0,House
,,,,,,,,,,,,Luis Rivera,,"RIVERA, LUIS ENRIQUE",H,DEM,VA,3.0,N,C,2021-12-17,0.0,0.0,0.0,0.0,House
Luke Holland,Male,White,,,No,No,Oklahoma,Senator (unexpired term),,Lost,,Luke Holland,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Luke Jesse,,"JESSE, LUKE MR",H,ICD,KY,42.0,N,C,2022-03-30,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Luke Talbot,,"TALBOT, LUKE",H,IND,VT,0.0,N,C,,0.0,0.0,0.0,0.0,House
Lulite Ejigu,Female,Black (Ethiopian),,,No,No,Texas,Representative,29,Lost,,Lulite Ejigu,REP,"EJIGU, LULITE",H,REP,TX,29.0,N,C,2021-12-13,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Lydia Bean,,"BEAN, LYDIA",H,DEM,TX,6.0,C,O,2021-02-24,323399.6,323399.6,0.0,0.0,House
,,,,,,,,,,,,Lyman Wight,,"WIGHT, LYMAN",H,REP,UT,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Lynda Bennett,,"BENNETT, LYNDA",H,REP,NC,11.0,N,C,2019-12-23,19849.95,20816.04,0.0,0.0,House
,,,,,,,,,,,,Lynn Gorman,,"GORMAN, LYNN CAROL",H,IND,OH,13.0,N,C,2021-12-21,0.0,0.0,0.0,0.0,House
Lynn Barry Mariano,Male,Asian,,,No,No,Hawaii,Governor,,Lost,,Lynn Mariano,REP,,,,,,,,,,,,,
Lynnette GreyBull,Female,Native American (Arapaho),,,No,No,Wyoming,Representative,At-Large,Won,,Lynnette Greybull,DEM,"GREYBULL, LYNNETTE",H,DEM,WY,0.0,C,C,2020-06-25,87407.75,89155.39,614.93,1460.0,House
Lynnette P. Williams,Female,Black,,,No,No,Tennessee,Representative,8,Won,,Lynnette Williams,DEM,"WILLIAMS, LYNNETTE",H,DEM,TN,8.0,N,C,2022-07-18,1025.0,775.0,250.0,3860.19,House
Lynz Piper-Loomis,Female,White,,,No,Yes,South Carolina,Representative,1,Lost,,Lynz Piper-Loomis,REP,"PIPER-LOOMIS, LYNZ",H,REP,SC,1.0,C,C,2021-04-19,148851.11,148826.59,24.52,0.0,House
,,,,,,,,,,,,M Brown,,"BROWN, M SHONTEL",H,DEM,OH,11.0,C,I,2020-12-12,4795344.37,4431521.29,363823.08,0.0,House
,,,,,,,,,,,,M Williams,,"WILLIAMS, M LATROY",H,DEM,TN,9.0,N,C,2016-03-28,0.0,0.0,0.0,0.0,House
M. Latroy Alexandria-Williams,Male,Black,,,No,Yes,Tennessee,Representative,9,Lost,,M. Alexandria-Williams,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,M.V. Mendoza,,"MENDOZA, M.V. (VINNY)",H,IND,LA,5.0,N,O,2006-10-26,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Macduff Curry,,"CURRY, MACDUFF MR",H,ICD,OH,52.0,N,C,2022-04-11,0.0,0.0,0.0,0.0,House
Maclovio Perez Jr.,Male,Latino,,,No,No,Texas,Representative,27,Won,,Maclovio Jr.,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Maclovio Perez,,"PEREZ, MACLOVIO MR JR",H,DEM,TX,27.0,C,C,2022-01-03,11098.1,4082.97,7369.55,0.0,House
